Optic_TM;Th;Color;Lines;TO;TO_dens;Roll;NewGroup;NewCombo;Quant;Vs;Downtime
;20,00;7;4;2;15,15;440;0;1;43,81;6,72;
;20,00;6;4;2;18,47;380;0;1;27,95;7,32;0,17
;20,00;5;8;4;50,17;460;0;1;48,99;4,74;
;20,00;5;8;4;50,17;460;0;;25,30;6,72;0,13
;20,00;8;2;2;7,41;540;0;1;15,69;5,22;
;20,00;10;3;3;12,53;420;0;1;16,06;4,56;
;20,00;8;4;2;15,15;440;0;1;26,65;4,02;
;20,00;8;4;2;15,15;440;0;;24,82;4,44;0,19
;20,00;6;4;1;15,15;440;0;1;15,68;2,52;0,38
;20,00;6;4;1;15,15;440;0;;14,38;2,76;0,41
;20,00;6;4;1;15,15;440;0;;24,86;3,24;0,48
;20,00;10;3;3;12,53;420;0;1;15,20;2,70;0,18
;20,00;6;3;3;12,53;420;0;1;14,52;2,82;0,13
;20,00;7;8;7;50,17;460;0;1;14,83;5,10;
;20,00;7;3;1;9,75;540;0;1;16,59;6,06;
;20,00;7;3;1;9,75;540;0;;14,84;3,48;
;20,00;10;3;3;9,75;540;0;1;16,94;3,96;
;20,00;7;3;1;12,53;420;0;1;30,17;9,54;
;20,00;7;3;1;12,53;420;0;;16,22;1,98;0,57
;20,00;9;3;3;12,53;420;0;1;15,89;4,14;
;20,00;10;3;3;9,75;540;0;1;16,60;5,22;
;20,00;7;4;1;15,15;440;0;;15,39;4,98;
;20,00;8;4;2;15,15;440;0;1;16,69;5,40;
;20,00;8;3;3;9,75;540;0;1;16,84;5,94;
;20,00;10;3;3;12,53;420;0;1;16,01;6,60;
;20,00;10;2;2;7,41;540;0;1;17,21;4,68;
;20,00;10;2;2;7,41;540;0;;16,78;2,70;0,35
;20,00;8;3;2;9,75;540;0;1;15,37;3,18;0,09
;20,00;8;3;2;9,75;540;0;;14,04;2,82;
;20,00;2;10;1;66,67;500;0;;14,73;4,20;0,48
;20,00;2;10;1;66,67;500;0;;13,74;4,98;0,39
;20,00;8;3;2;9,75;540;0;;15,09;5,82;
;20,00;7;3;1;9,92;560;0;;14,83;6,36;
;20,00;10;3;3;12,53;420;0;1;16,10;5,70;
;20,00;10;3;3;12,53;420;0;1;16,94;5,22;
;20,00;7;2;2;7,41;540;0;;15,46;2,76;0,37
;20,00;7;2;2;7,41;540;0;;14,37;3,72;
;20,00;7;2;2;7,41;540;0;;16,20;6,30;
;20,00;6;4;2;18,47;380;0;;26,49;2,64;0,04
;20,00;2;10;1;66,67;500;0;;15,24;5,52;0,18
;20,00;2;10;1;66,67;500;0;;13,61;1,98;0,68
;20,00;9;2;2;7,41;540;0;;16,94;4,08;
;20,00;8;3;2;17,36;360;0;;39,16;6,00;
;20,00;6;4;1;18,47;380;0;;25,20;5,04;0,23
;20,00;6;4;1;18,47;380;0;;25,09;2,40;0,47
